epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,17008.1,0.97169,0.55521,0.8949,0.8647,0.94544,0.97774,0.8298,0.60168,0.42837,0.8295,0.00998317,0.00998317,0.00998317
172,17107.6,0.94042,0.54341,0.89975,0.87106,0.89014,0.92409,0.75514,0.64504,0.55894,0.83315,0.00998307,0.00998307,0.00998307
173,17207,0.94597,0.5612,0.892,0.87764,1,0.9825,0.8477,0.58992,0.43852,0.81763,0.00998297,0.00998297,0.00998297
174,17306.5,0.95088,0.55199,0.90954,0.89209,0.94579,0.97196,0.81466,0.6165,0.45678,0.82732,0.00998287,0.00998287,0.00998287
175,17405.9,0.94911,0.55055,0.89614,0.87287,0.95325,0.97295,0.83891,0.58772,0.41224,0.83058,0.00998277,0.00998277,0.00998277
176,17505.3,0.95621,0.54731,0.90545,0.8642,0.96791,0.97953,0.82286,0.61821,0.43519,0.81995,0.00998267,0.00998267,0.00998267
177,17604.7,0.96942,0.5643,0.89742,0.87977,0.81934,0.94168,0.79301,0.6782,0.69908,0.83286,0.00998258,0.00998258,0.00998258
178,17704.1,0.94638,0.55631,0.89197,0.87172,0.93425,0.96704,0.8096,0.63968,0.46908,0.82499,0.00998248,0.00998248,0.00998248
179,17803.5,0.95275,0.55082,0.89134,0.86123,0.96401,0.9674,0.82965,0.63276,0.42513,0.83276,0.00998238,0.00998238,0.00998238
180,17902.9,0.92944,0.5456,0.89046,0.82631,0.91479,0.94546,0.81023,0.62698,0.51389,0.82521,0.00998228,0.00998228,0.00998228
